# Starfield material bridge generated from local materialsbeta.cdb
# material	diffuse	confidence	method	texture-set
materials/architecture/city/newatlantis/basematerials/napaint01_base.mat	textures/common/paint/paintscuffed01_color.dds	0.9900	exact-stem	NAPaint01_Base_TextureSet1
materials/architecture/city/newatlantis/basematerials/napaintscuffed02_base.mat	textures/common/paint/paintscuffed01_color.dds	0.9900	exact-stem	NaPaintScuffed02_Base_TextureSet2
materials/architecture/city/newatlantis/basematerials/nawoodveneer02_base.mat	textures/common/wood/woodveneer02_color.dds	0.9400	semantic-stem	WoodVeneer02_Dark_TextureSet1
materials/architecture/city/newatlantis/na_galbankdetailoverlay01.mat	textures/architecture/city/newatlantis/na_galbankdetailoverlay01_color.dds	0.9900	exact-stem	NA_GALBankDetailOverlay01_TextureSet1
materials/architecture/city/newatlantis/nacarpet01.mat	textures/architecture/city/newatlantis/nacarpet01b_color.dds	0.9900	exact-stem	NACarpet01_TextureSet1
materials/architecture/city/newatlantis/naconcretemossy01.mat	textures/architecture/city/newatlantis/naconcretemossy01_color.dds	0.9900	exact-stem	NAConcreteMossy01_TextureSet1
materials/architecture/city/newatlantis/naconcretemossy01_green.mat	textures/landscape/ground/moss/mossclumpy01_color.dds	1.0000	compiled-material-path	Data\Materials\Architecture\City\NewAtlantis\NAConcreteMossy01_green.mat_TextureSet2
materials/architecture/city/newatlantis/naconcretemossy02.mat	textures/architecture/city/newatlantis/naconcretemossy02_color.dds	0.9900	exact-stem	NAConcreteMossy02_TextureSet1
materials/architecture/city/newatlantis/naconcreteprinted01.mat	textures/architecture/city/newatlantis/naconcreteprinted02_color.dds	0.9000	fuzzy-stem	NAConcretePrinted02_TextureSet1
materials/architecture/city/newatlantis/naconcreteprinted02.mat	textures/architecture/city/newatlantis/naconcreteprinted02_color.dds	0.9900	exact-stem	NAConcretePrinted02_TextureSet1
materials/architecture/city/newatlantis/naconcreteprinted02_layered02.mat	textures/architecture/city/newatlantis/naconcreteprinted02_color.dds	0.9400	semantic-stem	NAConcretePrinted02_TextureSet1
materials/architecture/city/newatlantis/naconcretespeckled01_layered01.mat	textures/common/concrete/concretespeckled01_color.dds	0.9400	semantic-stem	ConcreteSpeckled01_TextureSet1
materials/architecture/city/newatlantis/nadecaltrimdetails01.mat	textures/architecture/city/newatlantis/nadecaltrimdetails01_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/nadecaltrimdetails01n.mat	textures/architecture/city/newatlantis/nadecaltrimdetails01_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/nagroundcoverleafmulch01.mat	textures/landscape/ground/leaves/leavestropical01_color.dds	0.9900	exact-stem	NAGroundcoverLeafMulch01_TextureSet3
materials/architecture/city/newatlantis/nametalsteel03pattern01.mat	textures/common/metal/metalroofext01_color.dds	0.9900	exact-stem	NAMetalSteel03Pattern01_TextureSet3
materials/architecture/city/newatlantis/nametaltrimtech04.mat	textures/common/trim/trimtech04_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
materials/architecture/city/newatlantis/napaintscuffed01_blue02.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/napaintscuffed01_blue04.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/napaintscuffed01_grey01.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/napaintscuffed01_grey03.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/napaintscuffed01_orange01.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/napaintscuffed01_red02.mat	textures/common/metal/metalrust04_color.dds	0.9400	semantic-stem	PaintScuffed01_Orange04_TextureSet2
materials/architecture/city/newatlantis/naplasticplainsmooth02_black01.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/architecture/city/newatlantis/naplasticplainsmooth02_grey01.mat	textures/common/plastic/plasticfiberglass04_color.dds	0.9400	semantic-stem	NAPlasticPlainSmooth02_Yellow01_TextureSet1
materials/architecture/city/newatlantis/naplasticplaintrim01.mat	textures/architecture/city/newatlantis/naplasticplaintrim01_color.dds	0.9900	exact-stem	NAPlasticPlainTrim01_TextureSet1
materials/architecture/city/newatlantis/nastone01mossy01.mat	textures/architecture/city/newatlantis/nastone01mossy01_color.dds	0.9900	exact-stem	NAStone01Mossy01_TextureSet1
materials/architecture/city/newatlantis/nastonebrickwall04_layered01.mat	textures/common/stone/stonebrickwall04_color.dds	0.9400	semantic-stem	StoneBrickWall04_TextureSet1
materials/architecture/city/newatlantis/natechpatternconcrete04.mat	textures/architecture/city/newatlantis/natechpatternconcrete04_color.dds	0.9900	exact-stem	NATechPatternConcrete04_TextureSet1
materials/architecture/city/newatlantis/naterminalsignage01.mat	textures/architecture/city/newatlantis/naterminalsignage01_color.dds	0.9900	exact-stem	NATerminalSignage01_TextureSet1
materials/architecture/city/newatlantis/naterminalsignage01c.mat	textures/architecture/city/newatlantis/naterminalsignage01_color.dds	1.0000	compiled-material-path	Data\Materials\Architecture\City\NewAtlantis\NATerminalSignage01c.mat_TextureSet1
materials/architecture/city/newatlantis/naterminalsignage02.mat	textures/architecture/city/newatlantis/naterminalsignage02_color.dds	0.9900	exact-stem	NATerminalSignage02_TextureSet1
materials/architecture/city/newatlantis/naterminalsignageuclogo01.mat	textures/architecture/city/newatlantis/naterminaluclogo01_color.dds	1.0000	authored-alias	materialsbeta.cdb authored alias
